company,product name,video date,primary category,description summary,is_sota,tags,license type,deployment,low vram friendly (< 8GB),project url
Sakana AI,Sakana Fugu,2026-06-28,AI Model (LLM),Sakana AI's evolutionary model merging technique creating specialized domain models automatically.,Yes,"AI model, evolutionary model, biological model merging",Open Weights,Local (Low VRAM < 8GB),Yes,https://sakana.ai/fugu
CN Makers,Domain Shuttle,2026-06-28,AI Model (LLM),Domain adaptation model converting pretrained LLM representations across domain tasks.,No,"AI model, domain adaptation, style transfer",Research / Open Code,Local (Low VRAM < 8GB),Yes,https://cn-makers.github.io/DomainShuttle/
Arbor / J. Dihlmann,Arbor,2026-06-28,AI Model (LLM),Tree-search reasoning model integrating Monte Carlo tree search with LLMs for complex problem solving.,No,"AI model, tree reasoning, Monte Carlo tree search LLM",Open Source (MIT),Local (Low VRAM < 8GB),Yes,https://arbor.jdihlmann.com/
Unconv AI,Un-0,2026-06-28,AI Image Generator,Image generator based on coupled oscillator physics delivering distinct artistic textures.,No,"visual tool, image generator, oscillator model, coupled physics",Research / Open Code,Local (Low VRAM < 8GB),Yes,https://unconv.ai/blog/introducing-un-0-generating-images-with-coupled-oscillators
PKU MSA Lab,PerceptionDLM,2026-06-28,AI Agent & Research Framework,Visual reasoning foundation model designed for spatial perception and object tracking.,No,"AI model, perception model, visual reasoning",Research / Open Code,Local (Low VRAM < 8GB),Yes,https://msalab-pku.github.io/projects/PerceptionDLM/index.html
Meta / Facebook Research,Autodata,2026-06-28,AI Agent & Research Framework,Meta AI automated dataset generation framework for synthetic data labeling.,No,"AI dataset tool, data synthesis, automated labeling",Open Source (MIT),Local (Low VRAM < 8GB),Yes,https://facebookresearch.github.io/RAM/blogs/autodata/
Independent / Research,Lift4D,2026-06-28,3D Generator,4D spatial generator lifting 2D video clips into interactive 4D volumetric scenes.,No,"3D generator, 4D spatial generator, video to 4D",Research / Open Code,Local (High VRAM >= 8GB),No,https://lift4d.github.io/
UME Exo,UME,2026-06-21,Robotics & Hardware,Robotic exoskeleton assisting human body movement and physical load handling.,No,"robotics, exoskeleton, human augmentation",Research / Open Code,Local (Hardware),No,https://ume-exo.github.io/
DroidUp,DroidUp Moya,2026-06-21,Robotics & Hardware,Humanoid domestic assistant robot designed for residential chore automation.,No,"robotics, humanoid robot, home assistance",Proprietary Hardware,Local (Hardware),No,https://droidup.ai/moya
AgiBot,AGIbot A3,2026-06-21,Robotics & Hardware,Industrial humanoid robot designed for precise assembly line tasks.,No,"robotics, humanoid robot, industrial task execution",Proprietary Hardware,Local (Hardware),No,https://agibot.com/a3
OpenAI,OpenAI AI Chemist,2026-06-21,Medical AI & Biology,OpenAI's autonomous chemical synthesis agent discovering novel chemical reaction pathways.,Yes,"medical AI, chemical synthesis, science agent, drug discovery",Proprietary / Paper,Cloud / Web API,N/A (Cloud),https://openai.com/index/ai-chemist-improves-reaction/
Midjourney,Midjourney Medical,2026-06-21,Medical AI & Biology,Specialized Midjourney imaging tool tailored for pathology and medical data visualization.,No,"medical AI, imaging, visual tool, pathology visualization",Proprietary / Closed Beta,Cloud / Web API,N/A (Cloud),https://www.midjourney.com/medical
Witcher of Research,TeleStyle V2,2026-06-21,AI Video Generator,Real-time video style transfer tool rendering video streams into artistic styles.,No,"visual tool, video style transfer, real-time stylization",Research / Open Code,Local (Low VRAM < 8GB),Yes,https://witcherofresearch.github.io/TeleStyleV2/
YS IMTech,PermaVid,2026-06-21,AI Video Generator,Video generation framework ensuring long-term visual consistency across extended video clips.,No,"visual tool, video generation, persistent video synthesis",Research / Open Code,Local (Low VRAM < 8GB),Yes,https://ys-imtech.github.io/projects/PermaVid/
Independent / Research,OmniDirector,2026-06-21,AI Video Generator,Cinematic camera director control tool directing virtual camera movements in AI video.,No,"visual tool, camera director control, cinematic control",Research / Open Code,Local (Low VRAM < 8GB),Yes,https://ymlinfeng.github.io/OmniDirector.github.io/
Lightricks,LTX2 Trainer,2026-06-21,AI Video Generator,Open-source training and fine-tuning suite for Lightricks' LTX video generation models.,No,"visual tool, video model trainer, LTX video finetuning",Open Source (Apache 2.0),Local (Low VRAM < 8GB),Yes,https://github.com/Lightricks/LTX-2/tree/main/packages/ltx-trainer
Boogu,Boogu Image,2026-06-21,AI Image Generator,"Fast, lightweight image generation model designed for rapid draft creation.",No,"visual tool, image generator, fast generation",Open Weights / Web,Local & Cloud,Yes,https://boogu.org/
OpenAI,OpenAI Record and Replay,2026-06-21,AI Coding Assistant,Developer feature in OpenAI Codex capturing and replaying code execution trajectories.,No,"AI coding assistant, developer tool, Codex execution capture",Proprietary / API,Cloud / Web API,N/A (Cloud),https://developers.openai.com/codex/record-and-replay
LOGOS Hub,LOGOS,2026-06-21,AI Agent & Research Framework,Symbolic AI reasoning framework combining formal logic with neural models.,No,"AI model, open-source reasoning, symbolic reasoning",Open Source (MIT),Local (Low VRAM < 8GB),Yes,https://github.com/LOGOS-Hub/LOGOS
Zhipu AI / Z.ai,GLM 5.2,2026-06-17,AI Model (LLM),"#1 open-source AI model by Zhipu AI excelling in coding, digital earth simulation, 3D model generation, and deep research.",Yes,"AI model, open-source LLM, coding tool, 3D coding, deep research, GGUF",Open Weights,Local & Cloud,Yes,https://zcode.z.ai/en
Independent / Research,AnchorWorld,2026-06-14,World Model & Physics Sim,3D scene synthesis framework anchoring generated objects to physical spatial bounds.,No,"world model, 3D scene, anchor points",Research / Open Code,Local (Low VRAM < 8GB),Yes,https://yuli0103.github.io/AnchorWorld/
WorldString IEI,Actionable World,2026-06-14,World Model & Physics Sim,3D interactive world model allowing users to manipulate physical objects within virtual scenes.,No,"world model, 3D environment, interactive simulation",Research / Open Code,Local (High VRAM >= 8GB),No,https://worldstring-iei.github.io/
Google DeepMind,Gemini Live 3.5 Translate,2026-06-14,TTS & Voice Synthesis,Real-time low-latency speech-to-speech translation model for natural conversations.,Yes,"translation, speech-to-speech, real-time AI, voice assistant",Proprietary / Commercial API,Cloud / Web API,N/A (Cloud),https://blog.google/innovation-and-ai/models-and-research/gemini-models/gemini-live-3-5-translate/
RedNote HiLab,Dots TTS,2026-06-14,TTS & Voice Synthesis,Expressive text-to-speech synthesis engine producing natural multi-emotion speech.,No,"TTS, audio, speech synthesis, expressive voice",Open Source (Apache 2.0),Local (Low VRAM < 8GB),Yes,https://rednote-hilab.github.io/dots.tts-demo/
Independent / Research,SCAIL 2,2026-06-14,Robotics & Hardware,Scaled reinforcement learning framework for complex robotic manipulation.,No,"robotics, AI control, scaled reinforcement learning",Research / Open Code,Local (Low VRAM < 8GB),Yes,https://teal024.github.io/SCAIL-2/
Independent / Research,VideoMDM,2026-06-14,AI Video Generator,Video motion dynamics model adding physics-based motion to static images.,No,"visual tool, video diffusion, motion dynamics",Research / Open Code,Local (Low VRAM < 8GB),Yes,https://videomdm.github.io/
NEU-VI,StreamForce,2026-06-14,AI Video Generator,Streaming video generation model producing instant video outputs during prompt entry.,No,"visual tool, streaming video generation, real-time diffusion",Research / Open Code,Local (Low VRAM < 8GB),Yes,https://neu-vi.github.io/StreamForce/
Independent / Research,Oscar,2026-06-14,AI Video Generator,Character tracking video generator keeping actor appearance fixed across scenes.,No,"visual tool, video generation, character tracking",Research / Open Code,Local (Low VRAM < 8GB),Yes,https://wuzy2115.github.io/oscar-project-page/
Independent / Research,Millivid,2026-06-14,AI Video Generator,Ultra-fast sub-second video generator designed for real-time visual output.,No,"visual tool, real-time video, millisecond generation",Research / Open Code,Local (Low VRAM < 8GB),Yes,https://davidcharatan.com/millivid/
Princeton ZLab,i1,2026-06-14,AI Model (LLM),Instruction-following alignment model trained for high safety and instruction adherence.,No,"AI model, instruction following, alignment research",Open Source (MIT),Local (Low VRAM < 8GB),Yes,https://zlab-princeton.github.io/i1/
Nex AGI,Nex N2,2026-06-14,AI Model (LLM),Reasoning AI model designed for multi-step agent planning.,No,"AI model, reasoning agent, long context reasoning",Proprietary / API,Cloud / Web API,N/A (Cloud),https://nex-agi.com/
MiniMax,MiniMax M3,2026-06-14,AI Model (LLM),Sparse-attention LLM supporting multi-million token context windows efficiently.,No,"AI model, LLM, sparse attention, long context",Open Weights,Local & Cloud,Yes,https://huggingface.co/MiniMaxAI/MiniMax-M3
Moonshot AI,Kimi K2.7,2026-06-14,AI Model (LLM),Moonshot AI's coding and long-context model with enhanced software engineering performance.,No,"AI model, LLM, coding assistant, long context",Proprietary / Web API,Cloud / Web API,N/A (Cloud),https://www.kimi.com/code
Google,DiffusionGemma,2026-06-14,AI Model (LLM),Google's text generation model utilizing diffusion decoding for super-parallel text generation.,Yes,"AI model, diffusion text generation, ultra-fast decoding",Open Weights,Local (Low VRAM < 8GB),Yes,https://blog.google/innovation-and-ai/technology/developers-tools/diffusion-gemma-faster-text-generation/
Benchmark / Open Source,Agents Last Exam,2026-06-14,AI Agent & Research Framework,Comprehensive benchmark suite evaluating LLM agents on rigorous academic and scientific tests.,Yes,"educational, benchmark, AI evaluation, LLM exam",Open Source Benchmark,Cloud / Web API,N/A (Cloud),https://agents-last-exam.org/
Independent / Research,World Tracing,2026-06-14,3D Generator,Ray-tracing neural rendering model for photorealistic 3D scene lighting.,No,"3D generator, ray tracing, neural rendering",Research / Open Code,Local (High VRAM >= 8GB),No,https://haoz19.github.io/world-tracing-page/
Independent / Research,Surflo,2026-06-14,3D Generator,3D geometry generator synthesizing smooth surface flow meshes.,No,"3D generator, surface flow, geometry generation",Research / Open Code,Local (Low VRAM < 8GB),Yes,https://anttwo.github.io/surflo/
Orange 3DV Team,MoVerse,2026-06-14,3D Generator,Motion synthesis system generating 3D human body motion from textual descriptions.,No,"3D generator, motion synthesis, body avatar",Research / Open Code,Local (Low VRAM < 8GB),Yes,https://orange-3dv-team.github.io/MoVerse/
Independent / Research,MeshFlow,2026-06-14,3D Generator,3D mesh generator converting point clouds into clean 3D geometry.,No,"3D generator, mesh generation, flow matching geometry",Research / Open Code,Local (Low VRAM < 8GB),Yes,https://mesh-flow.github.io/
Independent / Research,Flex4DHuman,2026-06-14,3D Generator,4D human body avatar system modeling dynamic clothing and muscle movement.,No,"3D generator, 4D human body avatar, dynamic mesh",Research / Open Code,Local (High VRAM >= 8GB),No,https://andy-cheng.github.io/Flex4DHuman/
Anthropic,Claude Fable 5,2026-06-11,AI Model (LLM),"Anthropic's reasoning model demonstrating top performance in 3D reconstruction, chemistry, math, and ray tracing.",Yes,"AI model, LLM, reasoning model, coding assistant, 3D math",Proprietary / Commercial API,Cloud / Web API,N/A (Cloud),https://www.anthropic.com/news/claude-fable-5
Ideogram,Ideogram v4,2026-06-09,AI Image Generator,"Best open-source image generation model in ComfyUI for photorealistic typography, graphic design, and prompt adherence.",Yes,"visual tool, image generator, open-source ComfyUI workflow, typography",Open Weights / Web,Local & Cloud,Yes,https://huggingface.co/Comfy-Org/Ideogram-4
NVIDIA,Cosmos 3,2026-06-07,World Model & Physics Sim,NVIDIA physical AI world model for physical reasoning and robot simulation.,Yes,"world model, physical AI, reasoning model, robotics simulation",Open Weights,Local (High VRAM >= 8GB),No,https://developer.nvidia.com/blog/develop-physical-ai-reasoning-world-and-action-models-with-nvidia-cosmos-3/
Independent / Research,WavTTS,2026-06-07,TTS & Voice Synthesis,Zero-shot voice cloning TTS engine generating natural speaker voices from short audio samples.,No,"TTS, audio, speech synthesis, zero-shot voice clone",Open Source (Apache 2.0),Local (Low VRAM < 8GB),Yes,https://wavtts.github.io/
Baidu Ernie Research,NAVA,2026-06-07,TTS & Voice Synthesis,Real-time voice conversation system from Baidu Ernie research.,No,"audio, speech-to-speech, real-time voice conversation",Research / Open Code,Local (Low VRAM < 8GB),Yes,https://ernie-research.github.io/NAVA/
Boson AI,Higgs Audio v3,2026-06-07,TTS & Voice Synthesis,Multi-speaker TTS system with customizable pitch and voice timbre.,No,"TTS, audio, voice generation, multi-speaker",Open Weights,Local (Low VRAM < 8GB),Yes,https://www.boson.ai/blog/higgs-audio-v3-tts
NVIDIA,RTX Spark,2026-06-07,Hardware & Semiconductors,NVIDIA edge AI workstation hardware for desktop model training and inference.,No,"hardware, AI acceleration, workstation, edge AI",Proprietary Hardware,Local (Hardware),No,https://www.nvidia.com/en-us/products/rtx-spark/
Microsoft,Majorana 2,2026-06-07,Hardware & Semiconductors,Microsoft quantum computing breakthrough using topological qubits for AI discovery.,Yes,"quantum computing, AI hardware, discovery agent, topological qubit",Proprietary Hardware,Local (Hardware),N/A (Cloud),https://news.microsoft.com/source/features/innovation/majorana-2-microsoft-discovery-agentic-ai/
HumanAIGC,StreamChar,2026-06-07,AI Video Generator,Real-time video avatar generator streaming live character animations.,No,"visual tool, real-time avatar generation, video avatar stream",Research / Open Code,Local (High VRAM >= 8GB),No,https://humanaigc.github.io/StreamChar_page/
Reve,Reve 2,2026-06-07,AI Video Generator,AI video generator producing high-motion cinematic video clips.,No,"visual tool, AI video generator, high motion",Proprietary / Web App,Cloud / Web API,N/A (Cloud),https://app.reve.com/
NVIDIA,Deja View,2026-06-07,AI Video Generator,NVIDIA temporal video generation model maintaining scene consistency.,No,"visual tool, video generation, temporal consistency",Research / Open Code,Local (High VRAM >= 8GB),No,https://research.nvidia.com/labs/dvl/projects/dvlt/
Google Magenta,Magenta Realtime 2,2026-06-07,AI Music & Audio,Google Magenta's interactive AI synthesizer for live music performance.,No,"AI music, real-time audio, interactive synthesizer",Open Source (Apache 2.0),Local (Low VRAM < 8GB),Yes,https://magenta.withgoogle.com/magenta-realtime-2
Alibaba Qwen,Qwen 3.7 Plus,2026-06-07,AI Model (LLM),Alibaba's enterprise LLM API for enterprise deployment.,No,"AI model, LLM, enterprise cloud model",Proprietary / Commercial API,Cloud / Web API,N/A (Cloud),https://qwen.ai/blog?id=qwen3.7-plus
NVIDIA,Nemotron 3 Ultra,2026-06-07,AI Model (LLM),NVIDIA enterprise LLM optimized for long-running agent workflows.,No,"AI model, reasoning model, long-running agent, enterprise LLM",Open Weights,Local & Cloud,No,https://developer.nvidia.com/blog/nvidia-nemotron-3-ultra-powers-faster-more-efficient-reasoning-for-long-running-agents/
Microsoft AI,MAI Thinking,2026-06-07,AI Model (LLM),Microsoft AI reasoning model focused on step-by-step logic chains.,No,"AI model, reasoning LLM, step-by-step thinking",Proprietary / Commercial API,Cloud / Web API,N/A (Cloud),https://microsoft.ai/news/introducing-mai-thinking-1/
Google,Gemma 4 12B,2026-06-07,AI Model (LLM),Google's 12B open-weights model delivering strong performance for developer local execution.,No,"AI model, open-source LLM, developer model",Open Weights (Permissive),Local (Low VRAM < 8GB),Yes,https://blog.google/innovation-and-ai/technology/developers-tools/introducing-gemma-4-12B/
OpenAI,ChatGPT Memory Dreaming,2026-06-07,AI Model (LLM),ChatGPT continuous memory architecture synthesizing user interaction history into long-term context.,No,"AI model, memory, personal assistant, continuous context",Proprietary / Web App,Cloud / Web API,N/A (Cloud),https://openai.com/index/chatgpt-memory-dreaming/
Stability AI,Stable Layers,2026-06-07,AI Image Generator,Open-source layer-based image editing UI splitting AI outputs into editable Photoshop-style layers.,Yes,"visual tool, layer-based image editing, open source UI",Open Source (MIT),Local (Low VRAM < 8GB),Yes,https://stability-ai.github.io/stable-layers.github.io/
NVIDIA,OmniDreams,2026-06-07,AI Image Generator,Neural rendering system creating dreamlike visual sequences.,No,"visual tool, dream generation, neural render synthesis",Research / Open Code,Local (High VRAM >= 8GB),No,https://research.nvidia.com/labs/sil/projects/omnidreams-blog/
Independent / Research,PaGeR,2026-06-07,3D Generator,3D 360-degree view generator creating panoramic virtual environments.,No,"3D generator, 360 view, scene reconstruction",Research / Open Code,Local (Low VRAM < 8GB),Yes,https://pager360.github.io/
Max Planck Institute,Mamma,2026-06-07,3D Generator,Human mesh generator creating 3D body models from single photographs.,No,"3D generator, avatar creation, human mesh generation",Research / Open Code,Local (Low VRAM < 8GB),Yes,https://mamma.is.tue.mpg.de/
Independent / Research,Bernini,2026-06-07,3D Generator,3D CAD generative model creating parametric CAD geometry from text descriptions.,No,"3D generator, CAD model, parametric 3D design",Research / Open Code,Local (Low VRAM < 8GB),Yes,https://bernini-ai.github.io/
Comfy-Org / Open Source,Z-Image Turbo,2026-06-02,AI Image Generator,Single-step open-source turbo image model generating images in under a second.,Yes,"AI model, image generator, open-source, single step turbo generation",Open Weights,Local (Low VRAM < 8GB),Yes,https://huggingface.co/Comfy-Org/z_image_turbo/tree/main/split_files/diffusion_models
NVIDIA,PiD (Pixel Diffusion),2026-06-02,AI Image Generator,NVIDIA's open-source 4K image diffusion model delivering ultra-high resolution image generation and upscaling in ComfyUI.,Yes,"AI model, image generator, 4K diffusion, open-source, ultra fast",Open Weights,Local (Low VRAM < 8GB),Yes,https://huggingface.co/Comfy-Org/PixelDiT/tree/main/diffusion_models
NVIDIA,PhysX Omni,2026-05-31,World Model & Physics Sim,NVIDIA real-time physics engine integration for omniverse world simulation.,No,"physics simulation, world model, real-time collision",Open Source (NVIDIA License),Local (High VRAM >= 8GB),No,https://physx-omni.github.io/
NVIDIA,Gamma World,2026-05-31,World Model & Physics Sim,3D environment synthesis model generating interactive digital twin worlds.,No,"world model, 3D simulation, environment synthesis",Research / Open Code,Local (High VRAM >= 8GB),No,http://research.nvidia.com/labs/sil/projects/gamma-world
Rai,Rai AthenaZero,2026-05-31,Robotics & Hardware,Juggling robot system capable of dynamic multi-ball physical manipulation.,No,"robotics, juggling robot, dynamic manipulation",Research / Open Code,Local (Hardware),No,https://rai-robotics.github.io/athenazero
Astribot,Astribot T1,2026-05-31,Robotics & Hardware,High-speed humanoid robot executing household tasks at human speeds.,No,"robotics, humanoid robot, high speed manipulation",Proprietary Hardware,Local (Hardware),No,https://astribot.com/t1
OpenScientist,AutoScientists,2026-05-31,Medical AI & Biology,Autonomous research agent system formulating scientific hypotheses and testing procedures.,No,"medical AI, science agent, research, autonomous hypothesis generation",Open Source (MIT),Local (Low VRAM < 8GB),Yes,https://autoscientists.openscientist.ai/
Independent / Research,Sega,2026-05-31,AI Video Generator,Semantic video editor allowing targeted attribute modification in video frames.,No,"visual tool, video editing, semantic editing",Research / Open Code,Local (Low VRAM < 8GB),Yes,https://rajabi2001.github.io/sega/
Independent / Research,SCOPE,2026-05-31,AI Video Generator,Cinematic camera trajectory modeling tool for video generation control.,No,"visual tool, camera control, trajectory modeling",Research / Open Code,Local (Low VRAM < 8GB),Yes,https://z2tong.github.io/SCOPE/
Independent / Research,InstructAV2AV,2026-05-31,AI Video Generator,Audio-driven video editing tool modifying lip movement based on new audio.,No,"visual tool, audio-video translation, lip sync modification",Research / Open Code,Local (Low VRAM < 8GB),Yes,https://hjzheng.net/projects/InstructAV2AV/
StepFun,Step 3.7 Flash,2026-05-31,AI Model (LLM),Fast multimodal vision-language model for low-latency visual queries.,No,"AI model, multimodal LLM, fast vision-language",Proprietary / API,Cloud / Web API,N/A (Cloud),https://static.stepfun.com/blog/step-3.7-flash/
OpenBMB,MiniCPM5 1B,2026-05-31,AI Model (LLM),Ultra-compact 1B LLM designed for fast execution on mobile phones.,No,"AI model, lightweight LLM, open-source, edge model",Open Source (Apache 2.0),Local (Low VRAM < 8GB),Yes,https://huggingface.co/openbmb/MiniCPM5-1B
Anthropic,Claude Opus 4.8,2026-05-31,AI Model (LLM),Anthropic's frontier LLM featuring advanced coding and reasoning.,Yes,"AI model, LLM, reasoning model",Proprietary / Commercial API,Cloud / Web API,N/A (Cloud),https://www.anthropic.com/news/claude-opus-4-8
Independent / Research,PixlRelight,2026-05-31,AI Image Generator,Portrait illumination tool adjusting light angles on human faces.,No,"visual tool, image relighting, portrait illumination",Research / Open Code,Local (Low VRAM < 8GB),Yes,https://mlfarinha.github.io/pixl-relight/
Independent / Research,ControlLight,2026-05-31,AI Image Generator,Interactive shadow and lighting adjustment tool for 2D images.,No,"visual tool, lighting control, shadow generation",Research / Open Code,Local (Low VRAM < 8GB),Yes,https://yfyang007.github.io/ControlLight/
Prism ML,Bonsai Image 4B,2026-05-31,AI Image Generator,Lightweight 4B parameter text-to-image generator.,No,"AI model, image generator, lightweight 4B parameters",Open Weights,Local (Low VRAM < 8GB),Yes,https://prismml.com/news/bonsai-image-4b
DataCurve AI,DeepSWE,2026-05-31,AI Coding Assistant,Open-source software engineering agent achieving high scores on the SWE-bench benchmark.,Yes,"AI coding assistant, software engineering agent, github benchmark",Open Source (Apache 2.0),Local (Low VRAM < 8GB),Yes,https://deepswe.datacurve.ai/blog
Independent / Research,Self-Improving AI (BES),2026-05-31,AI Agent & Research Framework,Self-improving AI framework enabling LLMs to autonomously refine their own training data.,No,"AI model, self-improvement, RL fine-tuning",Research / Open Code,Local (Low VRAM < 8GB),Yes,https://guoweixu.com/bes/
NVIDIA,LocateAnything,2026-05-31,AI Agent & Research Framework,NVIDIA visual grounding model locating any described object within image scenes.,No,"visual tool, object detection, zero-shot grounding",Research / Open Code,Local (Low VRAM < 8GB),Yes,https://research.nvidia.com/labs/lpr/locate-anything/
Independent / Research,TriSplat,2026-05-31,3D Generator,Gaussian splatting 3D generator constructing 3D models using triplane splats.,No,"3D generator, gaussian splatting, triplane representation",Research / Open Code,Local (Low VRAM < 8GB),Yes,https://lhmd.top/trisplat/
MPI Inf / Research,Relightable Characters,2026-05-31,3D Generator,3D avatar lighting system rendering characters under arbitrary light setups.,No,"3D generator, relighting, avatar lighting",Research / Open Code,Local (Low VRAM < 8GB),Yes,https://vcai.mpi-inf.mpg.de/projects/RHC/
Independent / Research,Pantheon 360,2026-05-31,3D Generator,360 VR environment generator creating panoramic 3D scenes.,No,"3D generator, 360 panorama, VR environment",Research / Open Code,Local (Low VRAM < 8GB),Yes,https://koi953215.github.io/pantheon360_page/
Independent / Research,GenRecon,2026-05-31,3D Generator,Single-image 3D reconstruction model generating 3D meshes from a single photo.,No,"3D generator, 3D reconstruction, single image to 3D",Research / Open Code,Local (Low VRAM < 8GB),Yes,https://kasothaphie.github.io/GenRecon/
Independent / Research,CubePart,2026-05-31,3D Generator,3D mesh segmentation model decomposing complex objects into simple geometric parts.,No,"3D generator, 3D mesh decomposition, part segmentation",Research / Open Code,Local (Low VRAM < 8GB),Yes,https://cubepart.github.io/
Research / Nature,Robin,2026-05-28,Medical AI & Biology,Nature-published consensus agent system designing novel drug combination therapies for leukemia and macular degeneration.,Yes,"medical AI, science agent, consensus system, drug repurposing",Research Paper,Cloud / Web API,N/A (Cloud),https://www.nature.com/articles/s41586-026-10652-y
Google DeepMind,Co-scientist,2026-05-28,Medical AI & Biology,Google DeepMind's multi-agent AI scientist automating medical discovery and designing novel treatments for cancer and antibiotic resistance.,Yes,"medical AI, science agent, deep research, hypothesis ranking",Proprietary / Research Paper,Cloud / Web API,N/A (Cloud),https://www.nature.com/articles/s41586-026-10644-y
Independent / Research,ReactiveGWM,2026-05-24,World Model & Physics Sim,Generative world model simulating physical reaction dynamics in real-time.,No,"world model, physics simulation, generative world model",Research / Open Code,Local (Low VRAM < 8GB),Yes,https://inv-wzq.github.io/ReactiveGWM/
Meta / Facebook Research,WavFlow,2026-05-24,TTS & Voice Synthesis,Meta AI flow-matching text-to-speech model producing high-fidelity voice audio.,No,"audio, speech generation, TTS, flow matching audio",Open Source (MIT),Local (Low VRAM < 8GB),Yes,https://facebookresearch.github.io/WavFlow/
Alibaba Qwen,Qwen Live Translate,2026-05-24,TTS & Voice Synthesis,Real-time speech translation model enabling instantaneous cross-lingual voice conversation.,No,"translation, speech-to-speech, real-time AI, low latency",Open Weights,Local & Cloud,Yes,https://qwen.ai/blog?id=qwen3.5-livetranslate
THU / Research,MegaASR,2026-05-24,TTS & Voice Synthesis,Multi-lingual speech recognition model providing robust ASR across noisy audio.,No,"speech recognition, ASR, audio, multi-lingual ASR",Open Source (Apache 2.0),Local (Low VRAM < 8GB),Yes,https://xzf-thu.github.io/Mega-ASR/
Unitree,Unitree Voice Commands,2026-05-24,Robotics & Hardware,Natural language voice interface for controlling Unitree quadrupeds and humanoids.,No,"robotics, voice control, natural language interface",Proprietary Hardware,Local (Hardware),No,https://unitree.com/
Hugging Face / Open Source,LeRobot,2026-05-24,Robotics & Hardware,Hugging Face open-source humanoid robotics library and dataset platform.,Yes,"robotics, open-source, humanoid control, dataset platform",Open Source (Apache 2.0),Local (Low VRAM < 8GB),Yes,https://huggingface.co/blog/VirgileBatto/lerobot-humanoid
UM Lab,CogOmniControl,2026-05-24,Robotics & Hardware,Cognitive multimodal robot control architecture for robotic task planning.,No,"robotics, multimodal control, cognitive robot control",Research / Open Code,Local (Low VRAM < 8GB),Yes,https://um-lab.github.io/CogOmniControl/
Arc Institute / Research,Evo2,2026-05-24,Medical AI & Biology,Genomic foundation model understanding and generating long DNA sequences.,Yes,"medical AI, DNA model, genomic foundation model",Open Source (Apache 2.0),Local (Low VRAM < 8GB),Yes,https://arc-institute.org/evo2
HuggingFace Bio,Carbon,2026-05-24,Medical AI & Biology,HuggingFace Bio tool for designing and editing custom DNA sequences.,No,"medical AI, DNA editor, biology tool, gene sequence design",Open Source (MIT),Local (Low VRAM < 8GB),Yes,https://huggingface.co/spaces/HuggingFaceBio/carbon-demo
Meituan,LongCat Video Avatar 1.5,2026-05-24,AI Video Generator,Avatar generation model creating talking face videos from audio input.,No,"visual tool, avatar generator, video model, lip sync",Open Weights,Local (High VRAM >= 8GB),No,https://huggingface.co/meituan-longcat/LongCat-Video-Avatar-1.5
ByteDance,Lance,2026-05-24,AI Video Generator,ByteDance video editor offering frame-level video inpainting and object replacement.,No,"visual tool, video editor, video inpainting",Research / Open Code,Local (Low VRAM < 8GB),Yes,https://lance-project.github.io/
Stability AI,Stable Audio 3,2026-05-24,AI Music & Audio,Stability AI's open-weights audio and music model generating multi-instrumental audio clips.,Yes,"audio, music generator, AI model, open weight music synthesis",Open Weights,Local (Low VRAM < 8GB),Yes,https://stability.ai/news-updates/meet-stable-audio-3-the-model-family-built-for-artistic-experimentation-with-open-weight-models
Alibaba Qwen,Qwen 3.7,2026-05-24,AI Model (LLM),Alibaba's open-source LLM featuring hybrid reasoning capabilities.,Yes,"AI model, LLM, open-source, hybrid reasoning",Open Weights (Apache 2.0),Local & Cloud,Yes,https://qwen.ai/blog?id=qwen3.7
NemoStation,Marlin 2B,2026-05-24,AI Model (LLM),Fast open-source 2B LLM optimized for minimal memory footprint.,No,"AI model, open-source LLM, fast inference 2B",Open Source (Apache 2.0),Local (Low VRAM < 8GB),Yes,https://huggingface.co/NemoStation/Marlin-2B
Apple,LiTo,2026-05-24,AI Model (LLM),Apple's lightweight language model optimized for low-power mobile devices.,No,"AI model, lightweight model, on-device inference",Research / Open Code,Local (Low VRAM < 8GB),Yes,https://apple.github.io/ml-lito/
Tencent,Hy-MT2 30B,2026-05-24,AI Model (LLM),Tencent 30B open-weights translation model supporting 30+ languages.,No,"AI model, translation model, multi-lingual",Open Weights,Local (Low VRAM < 8GB),Yes,https://huggingface.co/tencent/Hy-MT2-30B-A3B
Independent / Research,FashionChameleon,2026-05-24,AI Image Generator,Virtual try-on model modifying clothing items on human models.,No,"visual tool, fashion AI, image editing, virtual try-on",Research / Open Code,Local (Low VRAM < 8GB),Yes,https://quanjiansong.github.io/projects/FashionChameleon/
NJU PCALab,L2P,2026-05-24,AI Agent & Research Framework,Prompt learning framework enabling continuous learning without catastrophic forgetting.,No,"AI model, prompt learning, continuous learning",Research / Open Code,Local (Low VRAM < 8GB),Yes,https://nju-pcalab.github.io/projects/L2P/
Independent / Research,Flash GRPO,2026-05-24,AI Agent & Research Framework,Optimized RL algorithm accelerating group relative policy optimization for LLM alignment.,No,"AI training, RL algorithm, group relative policy optimization",Open Source (MIT),Local (Low VRAM < 8GB),Yes,https://shredded-pork.github.io/Flash-GRPO.github.io/
